epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.293,1.10514,3.17568,1.44596,0.76407,0.53645,0.5799,0.42623,0.92004,1.22715,1.34209,0.000151251,0.000151251,0.000151251
2,249.321,1.04174,1.68076,1.38612,0.75282,0.69754,0.71903,0.57635,0.70346,0.86303,1.14411,0.00029692,0.00029692,0.00029692
3,367.112,0.96769,1.3763,1.32011,0.71239,0.65806,0.70905,0.56104,0.70383,0.88744,1.14784,0.000436583,0.000436583,0.000436583
4,484.097,0.94619,1.23179,1.29558,0.77625,0.71784,0.76135,0.61172,0.67,0.70056,1.11762,0.000427973,0.000427973,0.000427973
5,602.98,0.90516,1.11462,1.26891,0.80878,0.76067,0.7846,0.64312,0.63932,0.60985,1.0814,0.000418964,0.000418964,0.000418964
6,721.288,0.89415,1.03183,1.25619,0.81227,0.77483,0.80298,0.66259,0.62294,0.57404,1.07026,0.000409955,0.000409955,0.000409955
7,840.03,0.87115,0.96617,1.23903,0.77781,0.78983,0.79802,0.66106,0.59722,0.55007,1.03919,0.000400946,0.000400946,0.000400946
8,958.23,0.85139,0.93064,1.22947,0.80692,0.79718,0.8043,0.66141,0.60735,0.53747,1.0452,0.000391937,0.000391937,0.000391937
9,1076.03,0.83658,0.86528,1.21696,0.85433,0.79273,0.81686,0.69035,0.57323,0.48385,1.02007,0.000382928,0.000382928,0.000382928
10,1193.77,0.82379,0.83431,1.20327,0.83808,0.7831,0.81101,0.67429,0.59453,0.49396,1.03638,0.000373919,0.000373919,0.000373919
11,1312.94,0.82002,0.81374,1.20039,0.83366,0.81369,0.82667,0.68757,0.59239,0.4832,1.036,0.00036491,0.00036491,0.00036491
12,1431.6,0.79885,0.77836,1.18696,0.87354,0.80345,0.83353,0.7074,0.55482,0.45449,1.006,0.000355901,0.000355901,0.000355901
13,1552.05,0.79628,0.7594,1.17979,0.84596,0.79931,0.82236,0.70164,0.55913,0.44782,1.01108,0.000346892,0.000346892,0.000346892
14,1673.56,0.78259,0.73761,1.17896,0.86077,0.80085,0.84333,0.71516,0.56062,0.44168,1.00585,0.000337883,0.000337883,0.000337883
15,1792.97,0.77356,0.71517,1.16779,0.88819,0.80463,0.85227,0.7373,0.53151,0.39805,0.98439,0.000328874,0.000328874,0.000328874
